Event,Tokens Released,Circulating Supply,Total Supply,Percentage Circulating,Date,Component
Jupuary 2024,1000000000.0,1000000000.0,10000000000.0,10.0,"January 31, 2024",Community
Launch Pool,250000000.0,1250000000.0,10000000000.0,12.5,"January 31, 2024",Team
Loans to Market Makers / CEX,50000000.0,1300000000.0,10000000000.0,13.0,"January 31, 2024",Team
Immediate LP Needs,17300000.0,1317300000.0,10000000000.0,13.17,"January 31, 2024",Team
ASR #1 [Came from Launchpad Fees],50000000.0,1367300000.0,10000000000.0,13.67,"July 6, 2024",Community
ASR #2 [Came from Launchpad Fees],50000000.0,1417300000.0,10000000000.0,14.17,"October 21, 2024",Community
Jupuary 2025,700000000.0,2117300000.0,10000000000.0,21.17,"January 22, 2025",Community
Team Cliff (for 2024),466666666.7,2583966666.7,7000000000.0,36.91,"January 31, 2025",Team
Team and Mercurial Vesting (January 2025),53472222.22,2637438888.92,7000000000.0,37.68,"February 1, 2025",Team
Team and Mercurial Vesting (February 2025),53472222.22,2690911111.14,7000000000.0,38.44,"March 3, 2025",Team
DAO Funding 2024,100000000.0,2790911111.14,7000000000.0,39.87,"March 26, 2025",Community
Team and Mercurial Vesting (March 2025),53472222.22,2844383333.36,7000000000.0,40.63,"April 2, 2025",Team
Team and Mercurial Vesting (April 2025),53472222.22,2897855555.58,7000000000.0,41.4,"May 2, 2025",Team
Team and Mercurial Vesting (May 2025),53472222.22,2951327777.8,7000000000.0,42.16,"June 1, 2025",Team
Team and Mercurial Vesting (June 2025),53472222.22,3004800000.02,7000000000.0,42.93,"July 1, 2025",Team
Team and Mercurial Vesting (July 2025),53472222.22,3058272222.24,7000000000.0,43.69,"July 31, 2025",Team
Team and Mercurial Vesting (August 2025),53472222.22,3111744444.46,7000000000.0,44.45,"August 30, 2025",Team
Team and Mercurial Vesting (September 2025),53472222.22,3165025566.92,6999808900.24,45.22,"September 29, 2025",Team
Team and Mercurial Vesting (October 2025),53472222.22,3218497789.14,6999808900.24,45.98,"October 29, 2025",Team
Team and Mercurial Vesting (November 2025),53472222.22,3137420060.44,6865258949.32,45.70,"November 28, 2025",Team
Team and Mercurial Vesting (December 2025),53472222.22,3190892282.66,6865258949.32,46.48,"December 28, 2025",Team
Team and Mercurial Vesting (January 2026),53472222.22,3244364504.88,6865258949.32,47.26,"January 27, 2026",Team
Jupuary 2026 [Initial Airdrop],200000000.0,3444364504.88,6865258949.32,50.95,"January 22, 2026",Community
Team and Mercurial Vesting (February 2026),53472222.22,3497836727.1,6865258949.32,50.95,"February 26, 2026",Team
Team and Mercurial Vesting (March 2026),53472222.22,3551308949.32,6865258949.32,51.73,"March 28, 2026",Team
Team and Mercurial Vesting (April 2026),53472222.22,3604781171.54,6865258949.32,52.51,"April 27, 2026",Team
Team and Mercurial Vesting (May 2026),53472222.22,3658253393.76,6865258949.32,53.29,"May 27, 2026",Team
Team and Mercurial Vesting (June 2026),53472222.22,3711725615.98,6865258949.32,54.07,"June 26, 2026",Team
Team and Mercurial Vesting (July 2026),53472222.22,3765197838.2,6865258949.32,54.84,"July 26, 2026",Team
Team and Mercurial Vesting (August 2026),53472222.22,3818670060.42,6865258949.32,55.62,"August 25, 2026",Team
Team and Mercurial Vesting (September 2026),53472222.22,3872142282.64,6865258949.32,56.4,"September 24, 2026",Team
Team and Mercurial Vesting (October 2026),53472222.22,3925614504.86,6865258949.32,57.18,"October 24, 2026",Team
Team and Mercurial Vesting (November 2026),53472222.22,3979086727.08,6865258949.32,57.96,"November 23, 2026",Team
Team and Mercurial Vesting (December 2026),53472222.22,4032558949.3,6865258949.32,58.74,"December 23, 2026",Team
Jupuary 2026 [Bonus Pool],200000000.0,4232558949.3,6865258949.32,61.65,"January 31, 2027",Community
